meal_description,carb,fat,energy,protein,country,serving_type
"For my snack, I have one freezer pop and one pouch of fruit leather.",31.54,0.86,134.4,0.14,USA,natural
"For lunch, I had a cheeseburger from a fast food place with a packet of mustard and a tablespoon of ketchup. I also had a small order of French fries.",81.22,43.14,853.47,33.730000000000004,USA,natural
"I’m having lunch that includes a cup of white rice with peas and carrots, a small stewed chicken drumstick, and a bottle of water.",37.15,6.61,274.55,14.93,USA,natural
I'm enjoying a snack that includes a can of cola and a Clif Bar.,83.03999999999999,4.93,391.52,10.0,USA,natural
"I’m enjoying a submarine sandwich with cheese, lettuce, tomato, and spread along with a 500 ml bottle of pepper soft drink for dinner.",107.41,27.41,773.88,27.35,USA,natural
I have 4 grams of baby food cookie for a little snack.,2.68,0.53,17.32,0.47,USA,metric
"I'm enjoying a grilled cheese sandwich on whole wheat bread, a can of tomato soup, and a bottle of unsweetened water for dinner.",72.09,23.700000000000003,554.88,17.62,USA,natural
"I'm having a 720-gram diet cola with my lunch, along with a serving of fast food French fries weighing 145 grams and a McDonald's cheeseburger that's 110 grams.",90.19,35.77,763.8,20.6,USA,metric
"For lunch, I'm having a cup of fruit smoothie made with whole fruit and dairy, along with a fresh peach.",40.34,2.71,199.08,6.54,USA,natural
"I'm starting my day with a bowl of mostly noodle soup weighing 233 grams, a 372-gram fruit juice drink packed with vitamin C, and some bottled unsweetened water totaling 600 grams.",63.59,6.65,327.23,4.09,USA,metric
"For dinner, I'm having 241 grams of noodle soup.",22.1,6.46,161.47,3.74,USA,metric
"For lunch, I'm having a bottle of water, a raw banana, and a raw orange, along with a package of noodle soup and a Hot Pockets pepperoni pizza.",138.81,29.39,898.54,24.65,USA,natural
"I have a snack of 372g of caffeine-free fruit-flavored soft drink, a slice of American cheese that’s 21g, and a 28g white hamburger bun.",53.61,6.0,291.39,6.3100000000000005,USA,metric
I’m enjoying dinner with a cup of tortilla chips and a cup of commercially-prepared red salsa. I’m washing it down with a 16 fl oz beer and a chicken fajita.,74.62,16.72,644.0,21.37,USA,natural
I have a medium chocolate chip cookie for my snack.,17.81,8.44,146.7,1.74,USA,natural
Dinner tonight consists of a cup of roasted potatoes and a cup of grilled chicken thigh that's been diced and sauced.,44.73,20.9,513.5,35.660000000000004,USA,natural
I'm snacking on a pouch of fruit snacks candy along with a cup of unsweetened bottled water.,21.92,0.74,94.9,0.14,USA,natural
"I have a 17-gram SNICKERS bar, 17 grams of white chocolate with cereal, and 240 grams of bottled unsweetened water for my snack.",20.6,9.04,170.34,2.58,USA,metric
I’m having a large wedge of raw watermelon for a snack.,32.62,0.65,129.6,2.64,USA,natural
"This morning, I’m enjoying a chicken tamale (128g) along with a corn tortilla (18g).",26.98,18.03,314.44,12.08,USA,metric
"For lunch, I'm having 28 grams of cheese-flavored Cheetos, a glass of reduced-fat milk weighing 244 grams, and a peanut butter and jelly sandwich on wheat bread that weighs 112 grams.",75.35,33.459999999999994,680.88,23.880000000000003,USA,metric
"For a snack, I'm having 110 grams of ready-to-eat pudding in a flavor other than chocolate.",24.86,4.16,143.0,1.6,USA,metric
"For a snack, I'm having 28 grams of cheese-flavored ruffled potato chips, 2.3 grams of white granulated sugar, and a cup (240 grams) of brewed coffee.",17.95,8.76,147.61,2.11,USA,metric
"As a snack, I'm enjoying a single whole raw plantain.",57.4,0.63,219.6,2.34,USA,natural
I grabbed a bun-sized reduced fat beef sausage and a single shoestring French fry for my snack.,0.94,15.53,206.49,15.77,USA,natural
"For a quick snack, I have a butter or sugar cookie that's 30 grams along with 240 grams of tap water.",20.2,5.86,139.2,1.6,USA,metric
"For lunch, I have a piece of medium crust pepperoni pizza from school and a cup of milk to go with it.",55.64,18.41,500.76,28.08,USA,natural
I had a peanut butter and jelly sandwich with a Kool-Aid Jammers pouch of fruit juice drink with high vitamin C for lunch.,69.49000000000001,18.94,487.64,14.31,USA,natural
I'm eating a chicken fillet sandwich and a medium raw apple for dinner.,55.040000000000006,7.76,334.92,13.97,USA,natural
"I'm enjoying a snack of fruit bread, which is 41 grams, and a decaf latte that weighs 480 grams.",40.38,15.0,355.64,15.98,USA,metric
"Breakfast today includes a small croissant, a fresh orange section, and a bottle of cola.",75.28999999999999,10.15,397.65,3.58,USA,natural
I'm snacking on a small apple along with a package of peanut butter filled crackers.,49.06,11.32,308.1,5.59,USA,natural
I’m eating a hot dog with a large soft roll for lunch.,29.07,16.54,311.52,10.91,USA,natural
"My lunch consisted of 248 grams of whole chocolate milk, a 154-gram raw orange, a 42-gram crunchy granola bar from Nature Valley, a peanut butter and jelly sandwich on wheat bread weighing 112 grams, and a raw apple that weighed 200 grams.",146.79000000000002,35.99,982.12,28.14,USA,metric
"For lunch, I'm having a can of diet cola along with a piece of medium crust pizza with meat other than pepperoni and a piece of pepperoni pizza.",82.96,31.92,743.28,30.83,USA,natural
I enjoyed a 117-gram sausage on a biscuit along with 248 grams of hot chocolate for breakfast.,76.11000000000001,32.39,659.75,18.06,USA,metric
"Lunch today is a diet frozen meal, 8.5 oz, with chicken, rice, and veggies.",26.1,7.28,262.69,23.67,USA,natural
I’m enjoying a 12 fl oz can of nonalcoholic malt beverage right now.,28.98,0.43,133.2,0.76,USA,natural
I'm enjoying 250 grams of frozen lasagna with meat and a side of 279 grams of iced black tea that's pre-sweetened.,58.13,11.11,396.49,16.58,USA,metric
"I’m enjoying a 73-gram white roll with 263 grams of ham in barbecue sauce, plus a 240-gram bottle of water for lunch.",69.96000000000001,21.76,742.8199999999999,62.470000000000006,USA,metric
"For a snack, I'm having a peanut butter and jelly sandwich made with 112.0g of regular peanut butter and jelly on white bread, along with 64.0g of low-fat yogurt with fruit.",59.9,19.39,463.52,15.87,USA,metric
"For a snack, I poured myself 248 grams of ready-to-drink reduced fat chocolate milk.",30.08,4.71,188.48,7.42,USA,metric
"For a snack, I had 36 grams of whole wheat bread along with some gumdrops that weighed 2.2 grams.",17.7,1.28,100.15,4.43,USA,metric
I'm snacking on 240 grams of bottled unsweetened water with 225 grams of Cape Cod chips.,22.9,0.18,220.5,0.0,USA,metric
"For my snack, I have a 1.9 oz MILKY WAY Bar and a 6.75 fl oz fruit juice drink.",43.65,9.3,267.14,2.17,USA,natural
"At this infant feeding time, I served 244 grams of whole milk and 124 grams of apple juice baby food.",25.9,7.93,204.68,8.0,USA,metric
Dinner tonight is a medium soft taco with meat and a cold can of pepper soft drink.,65.24,15.09,447.06,14.0,USA,natural
"For lunch, I'm having a small bag of flavored potato chips, a peanut butter and jelly sandwich on white bread, and a medium raw apple.",93.93,27.55,646.9200000000001,15.23,USA,natural
"For dinner, I'm having a regular fried chicken fillet sandwich from a fast food place with a tablespoon of honey mustard dip and a chocolate ice cream cone.",75.15,42.23,768.8,22.380000000000003,USA,natural
"For breakfast, I'm having a regular sausage on a biscuit with an individual packet of jelly and a bottle of Powerade.",122.65,29.07,788.75,11.33,USA,natural
"I’ve got a banana and a turkey submarine sandwich with cheese, lettuce, tomato, and spread for dinner.",87.07,6.43,494.34,25.08,USA,natural
I enjoyed a meatless enchilada with beans and red-chile sauce that weighed 141 grams for lunch.,19.08,6.6,153.69,6.12,USA,metric
"I have a small no-bake marshmallow cookie bar, a 16.9 fl oz bottle of water, a single serving bag of Cool Ranch tortilla chips, and a 16.9 fl oz bottle of caffeine-free fruit soda for my snack.",92.13,8.11,445.45,3.09,USA,natural
"For a snack, I'm having a grilled cheese sandwich made with cheddar cheese on white bread, a snack-sized container of orange juice, and a cup of Cheetos.",60.150000000000006,39.52,663.53,18.27,USA,natural
